account_id,district_id,frequency,Account_type,date_joined,Account_Owner_Type
1573,63,POPLATEK MESICNE,Savings account,1997-12-29,Single Owner
3276,1,POPLATEK MESICNE,Salary account,1997-12-29,Joint Account
124,55,POPLATEK MESICNE,Salary account,1997-12-28,Single Owner
3958,59,POPLATEK MESICNE,NRI account,1997-12-28,Joint Account
777,30,POPLATEK MESICNE,Savings account,1997-12-28,Single Owner
3025,25,POPLATEK MESICNE,Salary account,1997-12-27,Single Owner
906,59,POPLATEK MESICNE,NRI account,1997-12-27,Single Owner
845,14,POPLATEK MESICNE,Savings account,1997-12-27,Single Owner
3048,74,POPLATEK TYDNE,Salary account,1997-12-26,Single Owner
1983,54,POPLATEK MESICNE,NRI account,1997-12-25,Single Owner
727,35,POPLATEK MESICNE,NRI account,1997-12-25,Single Owner
4332,74,POPLATEK MESICNE,NRI account,1997-12-23,Single Owner
564,5,POPLATEK MESICNE,NRI account,1997-12-23,Single Owner
3934,6,POPLATEK MESICNE,NRI account,1997-12-23,Single Owner
1318,56,POPLATEK MESICNE,Salary account,1997-12-22,Single Owner
889,43,POPLATEK MESICNE,NRI account,1997-12-22,Single Owner
3385,1,POPLATEK MESICNE,Salary account,1997-12-21,Single Owner
703,54,POPLATEK MESICNE,Savings account,1997-12-21,Single Owner
1177,27,POPLATEK MESICNE,Salary account,1997-12-20,Single Owner
246,65,POPLATEK MESICNE,Salary account,1997-12-20,Joint Account
1171,18,POPLATEK MESICNE,NRI account,1997-12-20,Joint Account
3187,59,POPLATEK MESICNE,Salary account,1997-12-20,Single Owner
2791,25,POPLATEK MESICNE,Savings account,1997-12-19,Joint Account
3169,19,POPLATEK MESICNE,Savings account,1997-12-19,Single Owner
2049,67,POPLATEK MESICNE,Savings account,1997-12-19,Single Owner
758,51,POPLATEK MESICNE,Salary account,1997-12-19,Single Owner
2440,19,POPLATEK MESICNE,NRI account,1997-12-18,Single Owner
1186,64,POPLATEK MESICNE,NRI account,1997-12-17,Single Owner
3911,32,POPLATEK MESICNE,Salary account,1997-12-16,Single Owner
3992,43,POPLATEK MESICNE,Savings account,1997-12-16,Single Owner
579,1,POPLATEK MESICNE,NRI account,1997-12-16,Single Owner
2892,64,POPLATEK MESICNE,Savings account,1997-12-16,Joint Account
3616,50,POPLATEK MESICNE,NRI account,1997-12-15,Joint Account
938,70,POPLATEK MESICNE,Savings account,1997-12-13,Single Owner
3501,36,POPLATEK MESICNE,Salary account,1997-12-13,Single Owner
2820,36,POPLATEK MESICNE,NRI account,1997-12-11,Single Owner
3033,69,POPLATEK MESICNE,NRI account,1997-12-10,Joint Account
3174,65,POPLATEK MESICNE,Savings account,1997-12-10,Joint Account
134,34,POPLATEK MESICNE,Salary account,1997-12-10,Single Owner
1229,46,POPLATEK MESICNE,Salary account,1997-12-10,Single Owner
3209,45,POPLATEK MESICNE,Salary account,1997-12-10,Joint Account
1072,65,POPLATEK MESICNE,NRI account,1997-12-09,Single Owner
1156,59,POPLATEK MESICNE,Salary account,1997-12-09,Single Owner
3836,68,POPLATEK MESICNE,Salary account,1997-12-09,Single Owner
3013,73,POPLATEK MESICNE,NRI account,1997-12-09,Single Owner
673,31,POPLATEK MESICNE,Savings account,1997-12-08,Single Owner
3406,53,POPLATEK MESICNE,Salary account,1997-12-08,Single Owner
2796,5,POPLATEK TYDNE,Salary account,1997-12-08,Joint Account
2775,30,POPLATEK MESICNE,Savings account,1997-12-08,Joint Account
276,38,POPLATEK MESICNE,Savings account,1997-12-08,Single Owner
315,45,POPLATEK MESICNE,NRI account,1997-12-08,Single Owner
3722,76,POPLATEK MESICNE,Salary account,1997-12-07,Joint Account
736,75,POPLATEK MESICNE,Salary account,1997-12-07,Joint Account
2787,1,POPLATEK MESICNE,NRI account,1997-12-07,Single Owner
21,54,POPLATEK MESICNE,Salary account,1997-12-06,Single Owner
1650,39,POPLATEK MESICNE,Savings account,1997-12-06,Single Owner
800,11,POPLATEK MESICNE,Savings account,1997-12-06,Single Owner
3415,75,POPLATEK MESICNE,NRI account,1997-12-06,Single Owner
2918,15,POPLATEK PO OBRATU,NRI account,1997-12-05,Joint Account
4140,28,POPLATEK MESICNE,NRI account,1997-12-05,Single Owner
