account_id,txn_count,total_amount,avg_txn_amount,avg_balance,first_txn,last_txn
1,238,375139.0,1576.2142857142858,16004.628151260504,1995-03-24,1998-12-13
2,477,3151357.0,6606.618448637317,36527.94255765199,1993-02-26,1998-12-17
3,115,292260.0,2541.391304347826,26555.806086956523,1997-07-07,1998-12-11
4,185,350850.0,1896.4864864864865,21688.758378378378,1996-02-21,1998-12-13
5,81,165819.0,2047.148148148148,24971.544444444444,1997-05-30,1998-12-18
6,244,646941.0,2651.3975409836066,34440.59426229508,1994-09-27,1998-12-12
7,128,1185827.0,9264.2734375,62508.95390625,1996-11-24,1998-12-14
8,252,1708309.0,6779.003968253968,46615.83650793651,1995-09-21,1998-12-07
9,360,696363.0,1934.3416666666667,26632.963333333337,1993-01-27,1998-12-13
10,154,1038190.0,6741.493506493506,47644.457792207795,1996-08-28,1998-12-18
11,185,258022.0,1394.7135135135136,27859.669729729732,1995-10-10,1998-12-13
12,105,216653.0,2063.361904761905,20085.84,1997-04-15,1998-12-13
13,73,207112.0,2837.150684931507,15173.212328767124,1997-08-17,1998-12-10
14,122,780889.0,6400.729508196721,39609.85163934426,1996-11-27,1998-12-17
15,363,2327328.0,6411.371900826446,38597.39366391185,1993-10-02,1998-12-06
16,59,661290.0,11208.305084745763,29542.616949152543,1997-09-23,1998-12-06
17,53,412685.0,7786.509433962264,49903.17547169811,1997-01-08,1998-12-17
18,327,3728355.0,11401.697247706423,52177.85082568807,1993-05-26,1998-12-18
19,300,1563163.0,5210.543333333333,16732.439000000002,1995-04-07,1998-12-17
20,115,154689.0,1345.121739130435,15585.928695652174,1996-08-24,1998-12-14
21,61,298216.0,4888.786885245901,34992.039344262295,1997-12-06,1998-12-12
22,308,2097869.0,6811.262987012987,40726.990909090906,1994-03-23,1998-12-12
23,369,3195575.0,8660.09485094851,52232.688888888886,1993-05-22,1998-12-09
24,137,681122.0,4971.693430656935,27799.011678832117,1996-12-05,1998-12-10
25,272,2955058.0,10864.183823529413,56471.616948529416,1996-07-28,1998-12-17
26,349,3466381.0,9932.323782234957,32754.824355300858,1993-08-08,1998-12-12
27,351,1204860.0,3432.6495726495727,22723.45641025641,1993-09-26,1998-12-08
29,366,1885808.0,5152.48087431694,32115.509836065572,1994-11-24,1998-12-13
30,280,4539885.0,16213.875,56795.174,1995-03-04,1998-11-30
31,383,5807700.0,15163.707571801566,57445.495039164496,1994-04-27,1998-11-30
32,178,1377404.0,7738.224719101124,55276.18146067416,1995-08-28,1998-12-11
33,343,3231584.0,9421.527696793002,72220.72419825073,1993-08-26,1998-12-17
34,406,4308599.0,10612.312807881774,53995.90714285715,1993-09-17,1998-12-11
35,377,697265.0,1849.5092838196285,19928.249071618036,1993-07-07,1998-12-13
36,387,2792712.0,7216.31007751938,44869.69095607235,1993-07-01,1998-12-16
37,128,943257.0,7369.1953125,37433.44140625,1997-08-18,1998-12-17
38,129,571761.0,4432.2558139534885,34383.79224806202,1997-08-08,1998-12-18
39,398,813503.0,2043.9773869346734,24939.754271356782,1993-09-22,1998-12-14
40,364,905041.0,2486.3763736263736,23698.465659340658,1993-10-25,1998-12-12
41,69,554148.0,8031.130434782609,57539.34492753623,1997-08-02,1998-12-14
42,196,592338.0,3022.1326530612246,29116.35918367347,1996-08-16,1998-12-13
43,319,2840651.0,8904.862068965518,60898.78338557993,1994-06-12,1998-12-18
44,314,548494.0,1746.7961783439491,19094.97101910828,1993-05-10,1998-12-09
45,66,131295.0,1989.3181818181818,27283.67121212121,1997-09-02,1998-12-14
47,563,4925235.0,8748.197158081704,45020.20603907638,1993-08-08,1998-12-14
48,150,1196968.0,7979.786666666667,49599.27133333334,1996-11-17,1998-12-12
49,92,183108.0,1990.304347826087,15602.19891304348,1997-04-06,1998-12-12
50,375,1914987.0,5106.632,37174.59146666667,1994-05-06,1998-12-16
51,191,1321961.0,6921.261780104712,59744.14816753927,1996-05-11,1998-12-16
52,142,1263088.0,8894.985915492958,39993.27605633803,1997-01-29,1998-12-16
53,196,360069.0,1837.0867346938776,18631.57448979592,1995-06-07,1998-12-17
54,208,282235.0,1356.8990384615386,18721.609134615384,1995-05-02,1998-12-12
55,148,298272.0,2015.3513513513512,16769.241216216218,1996-02-19,1998-12-12
56,290,1748320.0,6028.689655172414,34714.106896551726,1994-05-16,1998-12-14
57,253,1953519.0,7721.418972332016,43688.298418972336,1995-05-21,1998-12-10
58,133,313460.0,2356.842105263158,12870.46992481203,1996-08-23,1998-12-08
59,383,1798710.0,4696.370757180157,45306.319060052214,1994-03-27,1998-12-08
61,338,474517.0,1403.896449704142,19936.747928994082,1993-12-11,1998-12-13
62,355,698785.0,1968.4084507042253,23623.057464788733,1993-03-28,1998-12-09
63,128,224611.0,1754.7734375,26338.32109375,1996-11-16,1998-12-12
64,44,217928.0,4952.909090909091,24198.525,1997-03-11,1998-12-01
65,179,1354289.0,7565.860335195531,53394.49608938548,1996-10-29,1998-12-18
66,315,5878894.0,18663.155555555557,64713.04888888889,1993-12-03,1998-12-15
67,380,4513815.0,11878.46052631579,56984.33581578947,1994-10-19,1998-12-14
68,423,3645173.0,8617.430260047282,65860.3903073286,1994-12-20,1998-12-15
69,193,464356.0,2405.9896373056995,28974.52590673575,1996-01-12,1998-12-18
70,244,915064.0,3750.2622950819673,38443.49631147541,1995-02-18,1998-12-10
71,494,2693077.0,5451.572874493927,51555.21072874494,1994-03-05,1998-12-09
72,240,3268975.0,13620.729166666666,55949.84120833334,1996-06-20,1998-12-16
73,365,2564360.0,7025.643835616438,47983.94438356164,1993-11-08,1998-12-13
75,214,1085799.0,5073.827102803738,24757.615887850465,1995-08-13,1998-12-18
76,162,580155.0,3581.203703703704,29234.937037037034,1996-05-16,1998-12-09
77,103,927867.0,9008.417475728156,29276.935922330096,1996-11-19,1998-12-09
78,386,2468100.0,6394.041450777202,35599.40492227979,1993-07-07,1998-12-12
79,102,189176.0,1854.6666666666667,19518.524509803923,1996-11-29,1998-12-19
80,174,243451.0,1399.1436781609195,19375.22356321839,1995-09-27,1998-12-17
81,215,234230.0,1089.4418604651162,26470.303255813953,1996-07-18,1998-12-13
82,329,4804731.0,14604.045592705168,61637.488996960485,1994-05-03,1998-12-14
83,429,1416736.0,3302.4149184149182,24466.05874125874,1993-04-16,1998-12-13
84,208,2317520.0,11141.923076923076,46466.192788461536,1995-12-25,1998-12-11
85,107,310966.0,2906.2242990654204,28890.85140186916,1997-03-23,1998-12-13
86,408,444659.0,1089.8504901960785,20218.113480392156,1993-03-07,1998-12-12
